"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"307",7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4
"308",7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,5
"309",8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5
"310",8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7
"311",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
"312",7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6
"313",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
"314",8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
"315",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
"316",6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
"317",8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
"318",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
"319",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
"320",9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6
"321",8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,6
"322",9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6
"323",7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6
"324",6.5,0.615,0,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,5
"325",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,5
"326",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
"327",7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6
"328",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
"329",10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6
"330",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
"331",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6
"332",5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6
"333",8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
"334",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
"335",7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6
"336",9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
"337",7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
"338",6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,4
"339",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,5
"340",5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6
"341",8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6
"342",12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6
"343",11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
"344",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"345",8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,5
"346",7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,5
"347",7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
"348",8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6
"349",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
"350",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6
"351",8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5
"352",9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
"353",6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6
"354",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5
"355",6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,6
"356",7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6
"357",7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5
"358",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
"359",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6
"360",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
"361",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
"362",9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5
"363",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
"364",7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
"365",9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
"366",11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,5
"367",7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5
"368",10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
"369",7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
"370",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
"371",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,5
"372",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,7
"373",9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5
"374",7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5
"375",7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
"376",6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5
"377",8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6
"378",7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5
"379",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,5
"380",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
"381",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
"382",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6
"383",9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,5
"384",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
"385",7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5
"386",8.7,0.84,0,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,5
"387",8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6
"388",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
"389",10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6
"390",5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
"391",6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4
"392",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
"393",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
"394",10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6
"395",7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
"396",8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,5
"397",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
"398",7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5
"399",9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
"400",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
"401",5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
"402",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
"403",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5
"404",7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5
"405",10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,7
"406",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
"407",8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
"408",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
"409",7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5
"410",7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
"411",8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
"412",7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
"413",6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5
"414",6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5
"415",7.8,0.82,0.29,4.3,0.083,21,64,0.99642,3.16,0.53,9.4,5
"416",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6
"417",7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7
"418",8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,7
"419",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
"420",7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6
"421",7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
"422",7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
"423",13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,7
"424",7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
"425",11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6
"426",10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7
"427",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4
"428",13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6
"429",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
"430",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
"431",7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6
"432",7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,6
"433",7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4
"434",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
"435",6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5
"436",5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6
"437",6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,7
"438",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
"439",6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6
"440",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
"441",6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
"442",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5
"443",5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6
"444",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
"445",9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5
"446",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,5
"447",12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
"448",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
"449",7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5
"450",5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
"451",12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6
"452",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,6
"453",10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
"454",8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6
"455",8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5
"456",5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5
"457",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5
"458",5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5
"459",8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,6
"460",11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
"461",10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
"462",7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,5
"463",7.9,0.24,0.4,1.6,0.056,11,25,0.9967,3.32,0.87,8.7,6
"464",7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5
"465",8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6
"466",6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5
"467",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
"468",7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5
"469",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,6
"470",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
"471",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
"472",8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
"473",6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5
"474",8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
"475",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
"476",7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6
"477",10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7
"478",11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6
"479",10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6
"480",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
"481",7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
"482",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5
"483",7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5
"484",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6
"485",5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5
"486",8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5
"487",8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7
"488",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,5
"489",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
"490",6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6
"491",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
"492",6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5
"493",12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4
"494",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
"495",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,5
"496",6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4
"497",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
"498",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
"499",9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,6
"500",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
"501",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
"502",7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5
"503",12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5
"504",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
"505",7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6
"506",14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6
"507",6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5
"508",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
"509",8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5
"510",9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5
"511",11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5
"512",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
"513",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5
"514",11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6
"515",7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6
"516",8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
"517",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
"518",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
"519",8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6
"520",11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6
"521",7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,5
"522",10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
"523",7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5
"524",6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,6
"525",7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,5
"526",10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7
"527",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
"528",10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4
"529",8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,5
"530",5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4
"531",6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5
"532",6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,6
"533",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"534",7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6
"535",7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,6
"536",9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
"537",8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5
"538",7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5
"539",9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6
"540",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
"541",7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6
"542",7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5
"543",10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,5
"544",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
"545",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6
"546",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
"547",6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5
"548",6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6
"549",6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5
"550",6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5
"551",7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6
"552",9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6
"553",7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5
"554",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5
"555",9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5
"556",7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6
"557",7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
"558",10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6
"559",9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5
"560",7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5
"561",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
"562",7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,5
"563",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
"564",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
"565",6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,7
"566",10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6
"567",9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,6
"568",6.8,0.68,0.21,2.1,0.07,9,23,0.99546,3.38,0.6,10.3,5
"569",7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
"570",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
"571",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6
"572",8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,5
"573",8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
"574",6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
"575",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
"576",8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7
"577",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
"578",8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6
"579",6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
"580",8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6
"581",4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
"582",9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5
"583",11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6
"584",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,6
"585",6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5
"586",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.06666667,6
"587",7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5
"588",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
"589",6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,6
"590",7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6
"591",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
"592",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
"593",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6
"594",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
"595",10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6
"596",5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
"597",7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5
"598",8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6
"599",6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,5
"600",9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5
"601",8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6
"602",9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6
"603",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
"604",12.7,0.6,0.49,2.8,0.075,5,19,0.9994,3.14,0.57,11.4,5
"605",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
"606",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
"607",8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,6
"608",9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6
"609",5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4
"610",8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
"611",9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,5
"612",7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5
"613",5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
"614",5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8
"615",7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5
